,drugID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,85,1,7,0,0,0,1,9,5,0,1,4,0,0,5,3,0,7,0,2,1,0,4,2,0,0,1
1,119,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2,137,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0
3,143,3,0,0,0,0,0,5,3,0,1,1,0,0,1,0,1,1,0,0,0,0,1,6,0,0,0
4,158,0,7,0,1,0,2,5,6,0,0,4,0,0,2,7,0,5,0,0,1,2,5,3,0,0,0
5,159,6,12,0,0,1,1,12,10,1,0,7,0,0,6,10,0,11,0,3,1,0,6,7,0,0,3
6,175,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
7,187,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,191,0,10,0,0,0,5,3,4,0,0,0,0,0,0,1,0,12,0,1,0,0,6,1,0,0,1
9,206,0,5,0,0,0,0,5,3,0,0,1,0,0,2,1,0,10,0,1,1,0,0,0,0,0,2
10,214,4,9,0,0,0,2,7,9,1,0,9,2,0,3,4,1,6,0,0,4,5,8,6,0,0,1
11,232,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1
12,247,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,271,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0
14,298,6,0,0,0,0,0,7,2,0,2,0,0,0,0,0,1,3,0,1,1,0,0,4,0,0,0
15,401,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0
16,444,6,12,0,4,2,13,37,12,1,5,21,0,1,7,21,5,28,0,9,11,17,19,22,1,0,5
17,450,4,2,1,2,4,5,21,11,3,3,24,1,2,5,17,10,14,0,4,5,18,12,17,0,0,6
18,453,0,7,0,0,0,1,3,3,0,2,1,0,0,4,2,0,4,0,0,2,0,2,2,0,0,3
19,564,4,3,0,1,0,2,4,3,0,2,0,0,0,0,6,0,6,0,2,1,0,2,2,0,0,1
20,581,0,3,0,1,0,0,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,5,6,0,0,1
21,596,6,8,0,1,0,6,15,10,2,3,6,0,1,8,10,1,23,0,2,5,0,8,8,0,0,2
22,598,4,5,0,0,0,1,7,7,0,1,3,0,0,3,4,1,6,0,1,1,0,3,5,0,0,0
23,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
24,681,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1
25,727,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0
26,738,0,1,0,1,0,0,10,7,0,1,8,0,0,1,3,0,4,0,0,2,1,2,4,0,0,1
27,750,0,3,0,0,0,1,4,3,0,1,0,0,0,4,1,0,5,0,0,1,0,2,1,0,0,1
28,767,1,3,0,1,5,6,11,4,0,0,2,0,0,8,2,0,11,0,4,4,2,1,7,0,0,0
29,772,6,0,1,0,1,1,5,8,1,3,1,2,0,3,1,1,4,2,0,3,0,4,10,0,0,2
30,807,1,13,0,2,0,5,7,9,0,3,6,1,0,2,4,0,17,0,4,4,0,11,10,0,0,5
31,815,0,0,0,2,0,1,4,2,0,0,0,0,0,0,0,0,4,0,0,2,0,1,1,0,0,0
32,838,0,7,0,0,1,0,1,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,1
33,853,0,6,0,0,1,0,6,4,0,2,0,0,0,0,2,0,4,0,2,0,2,3,7,0,0,0
34,861,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,888,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
36,937,1,6,0,1,0,3,15,9,2,2,4,0,1,2,8,2,8,0,1,1,2,8,14,0,0,1
37,942,1,2,0,1,0,2,13,5,0,1,3,0,0,1,3,0,12,0,4,0,2,10,7,1,0,0
38,951,0,4,0,0,0,1,1,3,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
